Date,Time,PC,Side,Name,Mould,Cavity,Total,OK,Reject,Recycle,OCR,Ignore,Default,Default,OK,NoPart,Overlap,Position,ToothCount,DiameterMin,DiameterMax,Circularity,T2TDistMin,T2TDistMax,ToothGapMin,ToothGapMax,Hole,UpsideDown,SlantAngle,HeightMin,HeightMax,Protrusion,Letter,OCRFail,MissingX,Error,
2018-08-02,20:33:33,1,AB,Total,-1,-1,15000,13515,1436,8,41,0,0,0,15000,2,3,5,56,1,33,10,0,0,1128,44,0,2,1,5,22,0,3,553,155,0,
2018-08-02,20:33:33,1,AB,Top,-1,-1,15000,14780,171,2,47,0,0,0,14309,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,553,155,0,
2018-08-02,20:33:33,1,AB,Bottom,-1,-1,15000,13740,1255,5,0,0,0,0,13740,1,2,3,56,1,32,10,0,0,1128,44,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Side,-1,-1,15000,14969,28,3,0,0,0,0,14969,0,0,1,0,0,1,0,0,0,0,0,0,2,1,5,22,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,1,303,271,31,0,1,0,0,0,303,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,1,0,0,22,14,0,
2018-08-02,20:33:33,1,AB,Cavity,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,3,343,309,33,0,1,0,0,0,343,0,0,0,2,0,0,0,0,0,29,1,0,0,0,0,1,0,0,54,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,4,3,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,7,4,2,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,
2018-08-02,20:33:33,1,AB,Cavity,1,8,6,4,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,9,340,308,31,0,1,0,0,0,340,0,0,0,2,0,0,0,0,0,24,3,0,0,0,0,1,0,0,13,1,0,
2018-08-02,20:33:33,1,AB,Cavity,1,10,349,318,30,0,1,0,0,0,349,0,0,0,1,0,2,1,0,0,25,1,0,0,0,1,0,0,0,13,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,11,354,333,20,0,1,0,0,0,354,0,0,0,0,0,1,1,0,0,18,1,0,0,0,1,0,0,0,14,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,12,352,323,28,0,1,0,0,0,352,1,0,0,2,0,2,1,0,0,21,3,0,0,0,0,0,0,0,14,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,13,356,323,32,0,1,0,0,0,356,0,0,0,3,0,1,0,0,0,27,1,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,14,330,308,21,0,1,0,0,0,330,0,0,0,0,0,1,0,0,0,19,0,0,0,0,0,1,0,0,13,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,15,343,306,35,1,1,0,0,0,343,0,0,0,2,0,0,0,0,0,32,1,0,1,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,17,336,274,61,0,1,0,0,0,336,0,0,1,0,1,0,0,0,0,26,1,0,0,0,0,0,0,0,18,37,0,
2018-08-02,20:33:33,1,AB,Cavity,1,18,288,258,29,0,1,0,0,0,288,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,80,15,0,
